fips,municode
13392,815
22576,824
69376,851
69400,869
32624,915
27120,868
27552,884
5216,883
42368,921
42392,836
69416,882
56392,932
64528,938
45900,927
33312,832
27608,913
25400,909
32832,916
76104,855
29732,846
23616,826
29592,830
3608,802
49920,838
53136,928
5504,804
5520,805
64240,937
69584,944
85188,866
61536,880
8008,872
63408,849
75816,854
22520,823
84144,864
13608,816
12496,814
66264,940
7976,807
72968,948
33592,833
24160,827
80032,859
59152,871
13704,200
72960,853
56088,845
7000,806
61328,873
69776,852
85184,953
77912,858
7992,808
21712,822
54816,843
85496,867
80600,861
80040,860
19856,820
46256,400
62320,848
29432,829
20432,300
43064,837
43408,881
23000,908
22992,825
82848,862
6064,945
83512,870
51744,839
84440,865
35424,834
52320,840
83200,863
31256,831
19576,819
3932,902
8416,810
3928,877
84512,874
51696,926
11680,813
39312,919
8624,811
79274,950
37000,835
74648,949
46264,842
76560,856
16848,818
66320,850
68388,941
11336,812
17048,906
50784,925
16144,817
65352,939
46072,841
72160,946
55016,929
26896,911
72568,947
84704,875
55488,930
8064,809
724,901
15216,905
32328,914
60712,847
36808,917
56384,931
3320,801
82800,952
5312,803
6064,876
77272,857
39624,920
21444,821
59032,934
26592,828
50528,879
55840,844
37955,878
47696,923
21024,907
60272,935
25904,910
61000,100
