tract,count,NAME,medincome,state,county
437000,180.0,"Census Tract 4370, Allegheny County, Pennsylvania",153544,42,003
409002,93.0,"Census Tract 4090.02, Allegheny County, Pennsylvania",248366,42,003
409001,86.0,"Census Tract 4090.01, Allegheny County, Pennsylvania",190246,42,003
456003,82.0,"Census Tract 4560.03, Allegheny County, Pennsylvania",168827,42,003
422000,80.0,"Census Tract 4220, Allegheny County, Pennsylvania",341148,42,003
489001,73.0,"Census Tract 4890.01, Allegheny County, Pennsylvania",93610,42,003
564000,68.0,"Census Tract 5640, Allegheny County, Pennsylvania",112311,42,003
474202,65.0,"Census Tract 4742.02, Allegheny County, Pennsylvania",163742,42,003
411002,65.0,"Census Tract 4110.02, Allegheny County, Pennsylvania",156441,42,003
456004,60.0,"Census Tract 4560.04, Allegheny County, Pennsylvania",102226,42,003
458001,58.0,"Census Tract 4580.01, Allegheny County, Pennsylvania",153337,42,003
452000,57.0,"Census Tract 4520, Allegheny County, Pennsylvania",91909,42,003
451300,57.0,"Census Tract 4513, Allegheny County, Pennsylvania",140366,42,003
491101,56.0,"Census Tract 4911.01, Allegheny County, Pennsylvania",157154,42,003
474101,54.0,"Census Tract 4741.01, Allegheny County, Pennsylvania",178948,42,003
456001,51.0,"Census Tract 4560.01, Allegheny County, Pennsylvania",127830,42,003
490002,51.0,"Census Tract 4900.02, Allegheny County, Pennsylvania",81535,42,003
426300,47.0,"Census Tract 4263, Allegheny County, Pennsylvania",101877,42,003
412003,46.0,"Census Tract 4120.03, Allegheny County, Pennsylvania",184860,42,003
477100,43.0,"Census Tract 4771, Allegheny County, Pennsylvania",102717,42,003
412002,43.0,"Census Tract 4120.02, Allegheny County, Pennsylvania",195426,42,003
414102,43.0,"Census Tract 4141.02, Allegheny County, Pennsylvania",126510,42,003
170200,41.0,"Census Tract 1702, Allegheny County, Pennsylvania",78702,42,003
459102,39.0,"Census Tract 4591.02, Allegheny County, Pennsylvania",122275,42,003
408001,39.0,"Census Tract 4080.01, Allegheny County, Pennsylvania",145427,42,003
478200,39.0,"Census Tract 4782, Allegheny County, Pennsylvania",61910,42,003
411001,39.0,"Census Tract 4110.01, Allegheny County, Pennsylvania",260815,42,003
421100,39.0,"Census Tract 4211, Allegheny County, Pennsylvania",165209,42,003
474102,38.0,"Census Tract 4741.02, Allegheny County, Pennsylvania",167605,42,003
459201,36.0,"Census Tract 4592.01, Allegheny County, Pennsylvania",107333,42,003
474203,36.0,"Census Tract 4742.03, Allegheny County, Pennsylvania",158080,42,003
445500,35.0,"Census Tract 4455, Allegheny County, Pennsylvania",139984,42,003
413500,33.0,"Census Tract 4135, Allegheny County, Pennsylvania",101485,42,003
475304,33.0,"Census Tract 4753.04, Allegheny County, Pennsylvania",109476,42,003
526101,33.0,"Census Tract 5261.01, Allegheny County, Pennsylvania",107650,42,003
451101,33.0,"Census Tract 4511.01, Allegheny County, Pennsylvania",121274,42,003
413100,33.0,"Census Tract 4131, Allegheny County, Pennsylvania",191460,42,003
412004,31.0,"Census Tract 4120.04, Allegheny County, Pennsylvania",178490,42,003
469000,30.0,"Census Tract 4690, Allegheny County, Pennsylvania",97082,42,003
20100,30.0,"Census Tract 201, Allegheny County, Pennsylvania",142656,42,003
475200,29.0,"Census Tract 4752, Allegheny County, Pennsylvania",109552,42,003
427100,29.0,"Census Tract 4271, Allegheny County, Pennsylvania",106449,42,003
484500,28.0,"Census Tract 4845, Allegheny County, Pennsylvania",71613,42,003
414200,28.0,"Census Tract 4142, Allegheny County, Pennsylvania",133705,42,003
415001,28.0,"Census Tract 4150.01, Allegheny County, Pennsylvania",135774,42,003
490004,27.0,"Census Tract 4900.04, Allegheny County, Pennsylvania",115480,42,003
474201,27.0,"Census Tract 4742.01, Allegheny County, Pennsylvania",180193,42,003
519000,27.0,"Census Tract 5190, Allegheny County, Pennsylvania",121820,42,003
475401,27.0,"Census Tract 4754.01, Allegheny County, Pennsylvania",114755,42,003
475303,27.0,"Census Tract 4753.03, Allegheny County, Pennsylvania",131793,42,003
460001,27.0,"Census Tract 4600.01, Allegheny County, Pennsylvania",83783,42,003
426800,27.0,"Census Tract 4268, Allegheny County, Pennsylvania",110907,42,003
130600,26.0,"Census Tract 1306, Allegheny County, Pennsylvania",43223,42,003
421200,26.0,"Census Tract 4212, Allegheny County, Pennsylvania",118943,42,003
413300,26.0,"Census Tract 4133, Allegheny County, Pennsylvania",102951,42,003
140300,25.0,"Census Tract 1403, Allegheny County, Pennsylvania",167865,42,003
413201,25.0,"Census Tract 4132.01, Allegheny County, Pennsylvania",106072,42,003
141400,24.0,"Census Tract 1414, Allegheny County, Pennsylvania",118302,42,003
478100,24.0,"Census Tract 4781, Allegheny County, Pennsylvania",74671,42,003
523400,24.0,"Census Tract 5234, Allegheny County, Pennsylvania",60417,42,003
477300,23.0,"Census Tract 4773, Allegheny County, Pennsylvania",74961,42,003
475402,23.0,"Census Tract 4754.02, Allegheny County, Pennsylvania",132726,42,003
413400,23.0,"Census Tract 4134, Allegheny County, Pennsylvania",131665,42,003
414101,23.0,"Census Tract 4141.01, Allegheny County, Pennsylvania",143489,42,003
446000,23.0,"Census Tract 4460, Allegheny County, Pennsylvania",307396,42,003
525200,23.0,"Census Tract 5252, Allegheny County, Pennsylvania",96168,42,003
518001,23.0,"Census Tract 5180.01, Allegheny County, Pennsylvania",102179,42,003
521100,22.0,"Census Tract 5211, Allegheny County, Pennsylvania",96445,42,003
423000,22.0,"Census Tract 4230, Allegheny County, Pennsylvania",131204,42,003
472400,22.0,"Census Tract 4724, Allegheny County, Pennsylvania",89975,42,003
408002,22.0,"Census Tract 4080.02, Allegheny County, Pennsylvania",133622,42,003
563800,22.0,"Census Tract 5638, Allegheny County, Pennsylvania",126263,42,003
413202,21.0,"Census Tract 4132.02, Allegheny County, Pennsylvania",120045,42,003
496102,21.0,"Census Tract 4961.02, Allegheny County, Pennsylvania",98156,42,003
451104,21.0,"Census Tract 4511.04, Allegheny County, Pennsylvania",143762,42,003
140100,21.0,"Census Tract 1401, Allegheny County, Pennsylvania",233852,42,003
451105,20.0,"Census Tract 4511.05, Allegheny County, Pennsylvania",104232,42,003
