municode,munidesc,market,appeal,parcelcount,appealpct
101,1ST WARD  - PITTSBURGH,1313366598,426378268.0,42.0,32.5
102,2ND WARD - PITTSBURGH,3285309710,1193418400.0,90.0,36.3
103,3RD WARD - PITTSBURGH,237824499,0.0,0.0,0.0
104,4TH WARD - PITTSBURGH,1471898928,67875600.0,27.0,4.6
105,5TH WARD - PITTSBURGH,217441907,2322800.0,14.0,1.1
106,6TH WARD - PITTSBURGH,541627875,66548300.0,27.0,12.3
107,7TH WARD - PITTSBURGH,1656594166,48520300.0,63.0,2.9
108,8TH WARD - PITTSBURGH,860046665,11438500.0,23.0,1.3
109,9TH WARD - PITTSBURGH,453738938,6625500.0,21.0,1.5
110,10TH WARD - PITTSBURGH,583900750,7269000.0,36.0,1.2
111,11TH WARD - PITTSBURGH,685629796,8397700.0,25.0,1.2
112,12TH WARD - PITTSBURGH,332559670,7242700.0,6.0,2.2
113,13TH WARD - PITTSBURGH,140047430,6875200.0,34.0,4.9
114,14TH WARD - PITTSBURGH,3283600753,83256450.0,148.0,2.5
115,15TH WARD - PITTSBURGH,489965070,6113500.0,14.0,1.2
116,16TH WARD - PITTSBURGH,800484290,42113160.0,38.0,5.3
117,17TH WARD - PITTSBURGH,613927321,33993300.0,64.0,5.5
118,18TH WARD - PITTSBURGH,191515710,2470300.0,28.0,1.3
119,19TH WARD - PITTSBURGH,1315059598,67223355.0,73.0,5.1
120,20TH WARD - PITTSBURGH,514308755,1052000.0,20.0,0.2
121,21ST WARD - PITTSBURGH,436304467,241999500.0,10.0,55.5
122,22ND WARD - PITTSBURGH,745495624,184717384.0,26.0,24.8
123,23RD WARD - PITTSBURGH,234486676,5715100.0,12.0,2.4
124,24TH WARD - PITTSBURGH,161328841,4093600.0,14.0,2.5
125,25TH WARD - PITTSBURGH,160181225,19217800.0,29.0,12.0
126,26TH WARD - PITTSBURGH,316012534,1114000.0,20.0,0.4
127,27TH WARD - PITTSBURGH,400641386,803900.0,8.0,0.2
128,28TH WARD - PITTSBURGH,434738011,29774200.0,16.0,6.8
129,29TH WARD - PITTSBURGH,280280785,6264300.0,32.0,2.2
130,30TH WARD - PITTSBURGH,60538150,401700.0,8.0,0.7
131,31ST WARD - PITTSBURGH,189585590,1059300.0,6.0,0.6
132,32ND WARD - PITTSBURGH,232236336,1213500.0,11.0,0.5
801,ASPINWALL,248858010,7497400.0,22.0,3.0
802,AVALON,192133850,8568800.0,26.0,4.5
803,BELLEVUE,373903373,11005900.0,39.0,2.9
804,BEN AVON,136253928,5205400.0,18.0,3.8
805,BEN AVON HEIGHTS,42822000,937500.0,3.0,2.2
806,BLAWNOX,77298250,861500.0,8.0,1.1
807,BRACKENRIDGE,87426660,833100.0,5.0,1.0
808,BRADDOCK,51334447,11380560.0,10.0,22.2
809,BRADFORD WOODS,142060403,4889100.0,12.0,3.4
810,BRENTWOOD,429568950,44566000.0,75.0,10.4
811,BRIDGEVILLE,259300435,8010300.0,22.0,3.1
812,CARNEGIE,397139818,11254600.0,50.0,2.8
813,CASTLE SHANNON,429593975,12579300.0,32.0,2.9
814,CHALFANT,24891362,360800.0,5.0,1.4
815,CHESWICK,107755800,2089100.0,12.0,1.9
816,CHURCHILL,261628110,7147300.0,28.0,2.7
817,CORAOPOLIS,216150030,8067900.0,23.0,3.7
818,CRAFTON,281564292,4363000.0,30.0,1.5
819,DORMONT,413922687,13008200.0,68.0,3.1
820,DRAVOSBURG,52021460,296400.0,7.0,0.6
821,EAST MCKEESPORT,66305262,4718250.0,15.0,7.1
822,EAST PITTSBURGH,39865197,186000.0,2.0,0.5
823,EDGEWOOD,274478605,8907200.0,29.0,3.2
824,EDGEWORTH,392938272,18319700.0,25.0,4.7
825,ELIZABETH BORO,45762915,240400.0,5.0,0.5
826,EMSWORTH,121732750,2376100.0,9.0,2.0
827,ETNA,125800930,701700.0,6.0,0.6
828,FOREST HILLS,389132553,5674900.0,32.0,1.5
829,GLASSPORT,113219585,3990250.0,18.0,3.5
830,GLENFIELD,11399990,0.0,0.0,0.0
831,GREENTREE,617365730,52935500.0,45.0,8.6
832,HAYSVILLE,4722200,0.0,0.0,0.0
833,HEIDELBERG,70474650,6199500.0,2.0,8.8
834,HOMESTEAD,175540028,40827550.0,22.0,23.3
835,INGRAM,123987050,1667300.0,10.0,1.3
836,LEETSDALE,142032807,3523800.0,12.0,2.5
837,LIBERTY,87477533,695600.0,9.0,0.8
838,MILLVALE,101277836,3880826.0,9.0,3.8
839,MT. OLIVER,65807094,1003500.0,10.0,1.5
840,MUNHALL,388828308,28209300.0,58.0,7.3
841,MCDONALD,15120000,0.0,0.0,0.0
842,MCKEES ROCKS,157454922,4084400.0,30.0,2.6
843,NORTH BRADDOCK,78261890,6670640.0,10.0,8.5
