parcelid,propertyhousenum,propertyaddress,munidesc,fairmarkettotal,lat,lon,appeal,fill,symbol,title,tooltip
0003D00075000000,1509,MURIEL ST,17th Ward - PITTSBURGH,567000,40.431155844414015,-79.984767449967109,True,#fa8c00,locator, ,"<b>Address:</b> 1509 MURIEL ST
<b>Municipality:</b> 17th Ward - PITTSBURGH
<b>Tax value:</b> $567,000"
0003D00150000000,1509,MURIEL ST,17th Ward - PITTSBURGH,614000,40.431332212985993,-79.983666898453734,True,#fa8c00,locator, ,"<b>Address:</b> 1509 MURIEL ST
<b>Municipality:</b> 17th Ward - PITTSBURGH
<b>Tax value:</b> $614,000"
0003H00385000000,1509,MURIEL ST,17th Ward - PITTSBURGH,4719000,40.430766143769908,-79.983273144812685,True,#fa8c00,locator, ,"<b>Address:</b> 1509 MURIEL ST
<b>Municipality:</b> 17th Ward - PITTSBURGH
<b>Tax value:</b> $4,719,000"
0179A00010000000,0,E WATERFRONT DR,Munhall  ,1515000,40.413690668212837,-79.899335508394813,True,#fa8c00,locator, ,"<b>Address:</b> 0 E WATERFRONT DR
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $1,515,000"
0179A00020000000,0,E WATERFRONT DR,Munhall  ,1900,40.413284445711277,-79.898858372167567,True,#fa8c00,locator, ,"<b>Address:</b> 0 E WATERFRONT DR
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $1,900"
0179E00150000000,800,E WATERFRONT DR,Munhall  ,10000000,40.411499164247147,-79.898255697899501,True,#fa8c00,locator, ,"<b>Address:</b> 800 E WATERFRONT DR
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $10,000,000"
0179K00050000000,0,E 8TH AVE,Munhall  ,5500,40.407281995932067,-79.891397682077653,True,#fa8c00,locator, ,"<b>Address:</b> 0 E 8TH AVE
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $5,500"
0179K00054000000,0,E 8TH AVE,Munhall  ,5900,40.407405151646387,-79.891692180053511,True,#fa8c00,locator, ,"<b>Address:</b> 0 E 8TH AVE
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $5,900"
0179K00065000000,0,E 8TH AVE,Munhall  ,11200,40.407048549215794,-79.891847536697497,True,#fa8c00,locator, ,"<b>Address:</b> 0 E 8TH AVE
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $11,200"
0179L00104000000,0,E 8TH AVE,Munhall  ,15100,40.407232054729064,-79.891120938322032,True,#fa8c00,locator, ,"<b>Address:</b> 0 E 8TH AVE
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $15,100"
0179L00110000000,0,E 8TH AVE,Munhall  ,52600,40.406924291635157,-79.890802164846363,True,#fa8c00,locator, ,"<b>Address:</b> 0 E 8TH AVE
<b>Municipality:</b> Munhall  
<b>Tax value:</b> $52,600"
