parcelid,municode,munidesc,fairmarkettotal,wkt,appeal,fill
0089H00055000000,834,Homestead  ,1338800,"POLYGON ((-79.91693082477775 40.409233154041154, -79.91699555305944 40.409183343454515, -79.91785631308652 40.408502047195164, -79.91789994815719 40.40846750915785, -79.91838598002734 40.40881458482424, -79.91795692404185 40.409244141747806, -79.91747901871787 40.40963221810935, -79.91693082477775 40.409233154041154))",False,
0089M00050000000,834,Homestead  ,5227550,"POLYGON ((-79.91572976666282 40.40864472800319, -79.91612432734235 40.40834925661858, -79.91659879206742 40.40799393382933, -79.91660988044865 40.408001004258736, -79.91663042886506 40.408006844828876, -79.91665916593905 40.408013573313625, -79.91668912404553 40.40801615359962, -79.91709378998615 40.40801684513228, -79.91712223594972 40.40801422837381, -79.91715725862124 40.40800526627356, -79.9171853169988 40.407991243990246, -79.91766719358162 40.40835876262903, -79.91767874187421 40.408367570138545, -79.91767714813201 40.4083687921106, -79.91760195146638 40.4084267768359, -79.91752221884117 40.408489886254856, -79.91745314500757 40.4085445590841, -79.91737532668303 40.40860615305127, -79.91726746654442 40.408691525143404, -79.91717093992403 40.408767926410015, -79.91705957359305 40.40885607297266, -79.91694592316786 40.40894602712677, -79.9168770899107 40.409000508377794, -79.91682407219079 40.40903865299883, -79.91672823102182 40.40910760763175, -79.91664994533785 40.40916393149428, -79.91653872156267 40.40924395293863, -79.91572976666282 40.40864472800319))",False,
0089M00075000000,863,West Homestead  ,4065900,"POLYGON ((-79.91747862127896 40.40728927812447, -79.91826104917264 40.40791228944211, -79.91795012295262 40.408159547679226, -79.91794016065579 40.40816713007738, -79.9178654553259 40.40822440986381, -79.91779327188185 40.40827975566744, -79.91767874187421 40.408367570138545, -79.91766719850406 40.40835875890923, -79.9171853169988 40.407991243990246, -79.91720263827139 40.40798382827315, -79.9172180660341 40.40797427692232, -79.91723115442353 40.40796286597297, -79.91724152518499 40.40794992520284, -79.9172488786041 40.40793582860145, -79.91725300216837 40.40792098356174, -79.91725377670869 40.407905819106254, -79.91726464270344 40.40757661604651, -79.91726198547398 40.40755751510849, -79.91725557431303 40.407538942190165, -79.91724555715155 40.407521325833805, -79.91723216512304 40.40750507251019, -79.91721570723043 40.40749055723991, -79.91747862127896 40.40728927812447))",True,#fa8c00
0089M00085000000,863,West Homestead  ,1858650,"POLYGON ((-79.91768799395534 40.40712898696792, -79.91847685450873 40.40774754429158, -79.91826104917264 40.40791228944211, -79.91747862127896 40.40728927812447, -79.91768799395534 40.40712898696792))",True,#fa8c00
0089M00100000B00,863,West Homestead  ,17425150,"POLYGON ((-79.91662882043194 40.40566590308551, -79.91706288408594 40.4053288743051, -79.91713704606893 40.40532095307032, -79.91721185830228 40.40531847611373, -79.91728663845795 40.405321466026464, -79.91736070450044 40.40532989553892, -79.91743338090683 40.40534368776932, -79.91750400482746 40.40536271692498, -79.91757193213104 40.40538680944937, -79.91878240196746 40.40445410805456, -79.91910292004889 40.404207133490395, -79.91892916741047 40.404066523695, -79.91893925813422 40.40406014988881, -79.91894038967004 40.404055548630566, -79.91894059139754 40.40405086930788, -79.91893985861105 40.40404622107945, -79.91881131512041 40.40394067137879, -79.91908982775082 40.40372767290165, -79.91912359458992 40.40371575882471, -79.91915855771536 40.40370606894566, -79.91921531733897 40.40369550800618, -79.91927340797636 40.403690796892676, -79.91928050022452 40.40369063829222, -79.91934273265566 40.40369292317933, -79.91940391640512 40.40370191534212, -79.91946282083774 40.40371743391448, -79.91951826116208 40.40373916675956, -79.91956912226007 40.40376667674775, -79.91989073951115 40.404007937916035, -79.91997901672927 40.4040751143681, -79.9199996307513 40.40409079022615, -79.92007577609427 40.40415469887616, -79.92014548030323 40.40422276750153, -79.92020835577547 40.40429461761386, -79.92026405287528 40.40436984969702, -79.92031226187854 40.40444804542835, -79.92035271469521 40.40452877000457, -79.92038518636062 40.404611574559354, -79.92038844618237 40.40462134952849, -79.92039159221123 40.404631145679886, -79.92039312426853 40.40463605200681, -79.92039461404018 40.404640916052536, -79.92039462859665 40.40464096293559, -79.92039601287667 40.40464557141628, -79.92039897584279 40.404655724681845, -79.9204197226341 40.404745093622914, -79.9204312621969 40.40483542928091, -79.92038028309939 40.40510358081702, -79.92025843860522 40.405328937497686, -79.91967141323994 40.40633772223581, -79.91960748253146 40.4064545440979, -79.91946150344616 40.40668135805409, -79.91937060071817 40.406802242615825, -79.91923404059901 40.406989252537045, -79.91904645869981 40.407205085873116, -79.91873847298037 40.40751958227677, -79.9185857606573 40.40765145102393, -79.91852271661864 40.407712533092045, -79.91847685450873 40.40774754429158, -79.91768799395534 40.40712898696792, -79.91703107130988 40.406597120051124, -79.91739582943826 40.406304250730734, -79.91662882043194 40.40566590308551))",True,#fa8c00
0089M00301000000,863,West Homestead  ,230500,"POLYGON ((-79.91838598002734 40.40881458482424, -79.91789994815719 40.40846750915785, -79.91791503861207 40.40845556477629, -79.91828346217187 40.408171693527976, -79.91848711581972 40.4080082631364, -79.9185756295537 40.40794148100095, -79.91866263261288 40.40787583839678, -79.9187728738049 40.407775472852265, -79.91885341252919 40.407706088946256, -79.91886096704732 40.4076991627856, -79.91887977547565 40.407712006408616, -79.91901065455752 40.40780126228737, -79.91907717892678 40.407849677010574, -79.91919387452246 40.40792936328075, -79.91942710745442 40.407643619289544, -79.91942419089084 40.40764188484184, -79.91954571269375 40.40749392124093, -79.91961314185481 40.4073968420927, -79.91988091375251 40.40749372220237, -79.91852345231163 40.40891630136729, -79.91842260632137 40.40884068394404, -79.91838598002734 40.40881458482424))",False,
0089S00125000000,863,West Homestead  ,73500,"POLYGON ((-79.91706288408594 40.4053288743051, -79.91846713710122 40.40420554817472, -79.91878240196746 40.40445410805456, -79.91757193213104 40.40538680944937, -79.91750400482746 40.40536271692498, -79.91743338090683 40.40534368776932, -79.91736070450044 40.40532989553892, -79.91728663845795 40.405321466026464, -79.91721185830228 40.40531847611373, -79.91713704606893 40.40532095307032, -79.91706288408594 40.4053288743051))",False,
0089S00175000000,863,West Homestead  ,8015550,"POLYGON ((-79.91623351912683 40.407276138817345, -79.91663282691124 40.406962693209586, -79.9157838397238 40.4062875584802, -79.91662882043194 40.40566590308551, -79.91739582943826 40.406304250730734, -79.91703107130988 40.406597120051124, -79.91768799395534 40.40712898696792, -79.91747862127896 40.40728927812447, -79.91721570723043 40.40749055723991, -79.91723216512304 40.40750507251019, -79.91724555715153 40.407521325833805, -79.91725557431303 40.407538942190165, -79.91726198547398 40.40755751510849, -79.91726464270344 40.40757661604651, -79.91725377670869 40.407905819106254, -79.91725300216837 40.40792098356174, -79.9172488786041 40.40793582860145, -79.91724152518499 40.40794992520284, -79.91723115442352 40.40796286597297, -79.9172180660341 40.40797427692232, -79.91720263827139 40.40798382827315, -79.9171853169988 40.407991243990246, -79.91623351912683 40.407276138817345))",True,#fa8c00
0089S00227000000,863,West Homestead  ,12600,"POLYGON ((-79.92079486766697 40.406612560663476, -79.92074323240668 40.406729943438535, -79.91993787851004 40.40642328940032, -79.9199977284222 40.40631981778956, -79.92079486766697 40.406612560663476))",False,
0129S00050000000,840,Munhall  ,8400,"POLYGON ((-79.89986334936704 40.414778897699435, -79.89986577685595 40.41439849898712, -79.90001233360123 40.41439122276951, -79.90001155798986 40.41458888189821, -79.90054833001066 40.41469199429762, -79.90071757422461 40.414687354763196, -79.90120868280127 40.414751184334335, -79.90181609058838 40.41480542109182, -79.90242258524702 40.41483099388003, -79.9033098229594 40.41482726089772, -79.9048728716683 40.4147457961163, -79.90560904178638 40.41465675142619, -79.90567826227209 40.4148542992394, -79.90463981657477 40.4149634308315, -79.90324320413065 40.41503711434508, -79.90224651514691 40.41505568853673, -79.90135753293343 40.41497696497767, -79.89986334936704 40.414778897699435))",False,
0130C00125000000,834,Homestead  ,19603400,"POLYGON ((-79.90524887287263 40.41367114447819, -79.90425845126067 40.41133402045783, -79.9050563467562 40.41112680656521, -79.90752595802454 40.41047943470829, -79.90790306155546 40.411510162998866, -79.90787265448071 40.41151768581561, -79.90820500077844 40.4123516399849, -79.90821589925007 40.4123803382163, -79.90821072454631 40.412372888296616, -79.90820386065246 40.41236818675559, -79.90819604870177 40.412364710288934, -79.90818793839088 40.41236425808315, -79.90818046842219 40.412365303256266, -79.90816323286161 40.41236970044989, -79.90737279690194 40.41256191783608, -79.90733274779572 40.41256956922954, -79.90659362078134 40.41274930317247, -79.90658924462082 40.41275053256618, -79.90658520708568 40.412752314704896, -79.90658162660273 40.41275459731588, -79.90657860819283 40.41275731344687, -79.90657624039041 40.41276038342969, -79.90657459264669 40.41276371721731, -79.90657371329253 40.412767217024786, -79.9065736281208 40.412770780197626, -79.90657433962986 40.412774302222715, -79.90657582695017 40.41277767979379, -79.90676744365354 40.41323297854454, -79.90677417619555 40.41324068448453, -79.90678244608455 40.41324745990945, -79.90679203693276 40.413253127534894, -79.90680269778818 40.41325753906295, -79.90681414970109 40.413260579062324, -79.90682609302291 40.41326216798904, -79.9068382152469 40.41326226426748, -79.90685019918516 40.41326086537845, -79.90683017506001 40.4132660226864, -79.9067861253258 40.41327736782763, -79.906438380607 40.41336692978766, -79.90601673584587 40.41347601478031, -79.90558604273066 40.41358703179194, -79.90526878822253 40.41366672074148, -79.90524887287263 40.41367114447819))",True,#fa8c00
0130C00200000000,840,Munhall  ,3670800,"POLYGON ((-79.90477215371101 40.413217134155325, -79.90476725214744 40.413207457305646, -79.90476024898504 40.41319856775869, -79.90475135236657 40.41319072972199, -79.90474082671022 40.41318417615084, -79.9047289848507 40.41317910182477, -79.90471617874155 40.41317565755833, -79.9047027889946 40.413173945719, -79.90468921356796 40.41317401718453, -79.90467585593834 40.41317586983085, -79.90408649861183 40.41330852107798, -79.90398206478582 40.41333226492216, -79.90369823525377 40.41261673345651, -79.90376067869775 40.41259765886835, -79.90318756134714 40.4115114366104, -79.90336597985805 40.41149146399671, -79.90425845126067 40.41133402045783, -79.90524887287263 40.41367114447819, -79.90508380470956 40.41370781093398, -79.90499457302708 40.41372763184958, -79.90489781717518 40.41374754669529, -79.90491254098936 40.413740277026406, -79.90492547380038 40.413731233387814, -79.9049362538607 40.41372066874248, -79.90494457963854 40.413708878597696, -79.90495021825211 40.41369619273963, -79.90495301198347 40.41368296600845, -79.90495288269001 40.41366956837312, -79.90494983398995 40.413656374582786, -79.90477215371101 40.413217134155325))",False,
0130D00225000000,840,Munhall  ,1662500,"POLYGON ((-79.90398206478582 40.41333226492216, -79.90339100505714 40.413465210699684, -79.90338067794016 40.41346901664053, -79.90337128347936 40.41347403973868, -79.90336306507628 40.41348014985049, -79.90335623566209 40.41348718866897, -79.90335097218079 40.41349497382504, -79.90334741100475 40.41350330361281, -79.90334564440127 40.41351196221532, -79.90334571814209 40.41352072529624, -79.90334763031741 40.41352936581236, -79.9033594395271 40.4135583235068, -79.90350020785698 40.41390350384012, -79.90350322588839 40.413916487199174, -79.90350913497407 40.413928876271434, -79.90351775717394 40.413940297982094, -79.90352883284696 40.413950408386405, -79.9035420284696 40.413958903027286, -79.90355694667932 40.41396552610335, -79.90357313824043 40.413970078172085, -79.90359011557207 40.413972422155794, -79.90360736743109 40.41397248746942, -79.90355923522522 40.413979597206904, -79.90350486311296 40.41398659914778, -79.90346604240202 40.413991598332004, -79.90306128119063 40.41301126021999, -79.90274447396095 40.41238600644201, -79.90239820272845 40.411721213042334, -79.90234808262987 40.41162822082385, -79.90259261940705 40.411587079798984, -79.90318756134714 40.4115114366104, -79.90376067869775 40.41259765886835, -79.90369823525377 40.41261673345651, -79.90398206478582 40.41333226492216))",False,
