parcelid,address,muni,lat,lon,tract
0052E00116003C00,537 N NEVILLE ST PITTSBURGH PA 15213,7TH WARD - PITTSBURGH,40.449221294659942,-79.947733945822549,070900
0052D00056000000,5317 PEMBROKE PL PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.451085774598177,-79.936239742385908,070300
0052C00329000000,707 AMBERSON AVE PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.450428386869241,-79.940011769177914,070300
0052C00310000000,600 PITCAIRN PL PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.451426586343800,-79.940068148252706,070300
0052C00227000000,712 SAINT JAMES ST PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.451209765609789,-79.937515694792253,070300
0052C00020000000,5124 BAYARD ST PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.452467859811726,-79.940276919667539,070900
0052A00281000000,4734 BAYARD ST PITTSBURGH PA 15213,7TH WARD - PITTSBURGH,40.450580033756189,-79.947334589576784,070900
0051S00354000000,5407 ELLSWORTH AVE PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.453101122540787,-79.936463268668390,070900
0051S00084000000,520 IVY ST PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.454665257350243,-79.934068997856031,070900
0051M00132020800,5570 CENTRE AVE PITTSBURGH PA 15232,7TH WARD - PITTSBURGH,40.456066672981201,-79.934553829936590,070900
0051G00016000000,404 S PACIFIC AVE PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.459651226316012,-79.941051617144751,080600
0051F00225000000,415 S WINEBIDDLE ST PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.459485684519720,-79.942907992530792,080600
0051F00214000000,415 S WINEBIDDLE ST PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.459512196708538,-79.943247998284193,080600
0051E00227020300,622 GROSS ST PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.458103125983627,-79.946385886038726,080400
0051D00083000000,307 S GRAHAM ST PITTSBURGH PA 15232,8TH WARD - PITTSBURGH,40.461571637839789,-79.935989896195778,080700
0051C00029000000,332 S PACIFIC AVE PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.461081455472268,-79.940859420676063,080600
0051B00156000000,151 FORT PITT BLVD PITTSBURGH PA 15222,8TH WARD - PITTSBURGH,40.462013056235037,-79.941784270425487,080600
0050R00239000000,213 S EVALINE ST PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.463361214122003,-79.941115178410428,080600
0050R00173000000,211 S PACIFIC AVE PITTSBURGH PA 15224,8TH WARD - PITTSBURGH,40.463487078029289,-79.939801599374263,080600
0050N00026000000,152 PEARL ST PITTSBURGH PA 15224,9TH WARD - PITTSBURGH,40.464236577714786,-79.948692430954765,090300
0050K00047000000,5001 JORDAN WAY PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467155236473964,-79.943478468238055,101900
0050H00232000000,5359 HILLCREST ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467981657646312,-79.935282045666312,101900
0050H00044000000,333-335 N AIKEN AVE PITTSBURGH PA 15206,10TH WARD - PITTSBURGH,40.467540931898597,-79.934990110721202,101900
0050G00040000B00,530 N ATLANTIC AVE PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467562856339754,-79.937570791237832,101900
0050G00040000000,530 N ATLANTIC AVE PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467484096586269,-79.937592692009417,101900
0050G00038000B00,530 N ATLANTIC AVE PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467671051165212,-79.937541874800260,101900
0050G00038000A00,530 N ATLANTIC AVE PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467616912686459,-79.937558297698487,101900
0050G00037000000,0 ROSETTA ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467542428275522,-79.937419937751045,101900
0050G00036000000,0 ROSETTA ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467539643072712,-79.937365240638414,101900
0050G00035000A00,0 ROSETTA ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467530260087997,-79.937317090170396,101900
0050G00035000000,0 ROSETTA ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467522993183415,-79.937266017590446,101900
0050G00034000000,5311 ROSETTA ST PITTSBURGH PA 15224,10TH WARD - PITTSBURGH,40.467512720095314,-79.937217035104666,101900
0049N00260000000,305-307 37TH ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.464138561103930,-79.962234856771218,060300
0049M00128000000,4550 PENN AVE PITTSBURGH PA 15224,9TH WARD - PITTSBURGH,40.465839635091996,-79.950501935275369,090300
0049L00183000A00,4224 POST ST PITTSBURGH PA 15201,9TH WARD - PITTSBURGH,40.467106227874694,-79.954763243647079,090200
0049K00165000000,4005 ARSENAL PL PITTSBURGH PA 15201,9TH WARD - PITTSBURGH,40.466531529675095,-79.959143644719759,090200
0049J00312000000,213 38TH ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.466675486210178,-79.963675790309139,060300
0049J00270000000,263 38TH ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.465539566263679,-79.962245458800467,060300
0049J00190000000,245 37TH ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.465208974081577,-79.963243410649866,060300
0049J00089040700,3725 BUTLER ST PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.466913992494028,-79.964611263107273,060300
0049J00089030600,3725 BUTLER ST UNIT 306 PITTSBURGH PA 15201,6TH WARD - PITTSBURGH,40.466788783164205,-79.964580398616704,060300
