parcelid,address,muni,lat,lon,tract
1205C00265000000,10480 LINDEN RD WEXFORD PA 15090,MCCANDLESS,40.608301167102347,-80.056093834500544,413100
0088R00094000000,1770 PARKVIEW BLVD PITTSBURGH PA 15217,14TH WARD - PITTSBURGH,40.415854495395259,-79.920639688116253,141400
0099E00144000000,767 COLONY CIR PITTSBURGH PA 15243,MT.LEBANON,40.391411535798781,-80.062805697096678,473601
0012L00269000000,2407 SARAH ST PITTSBURGH PA 15203,16TH WARD - PITTSBURGH,40.427337285159169,-79.970920878530251,160900
0458A00072000000,930 DERBY LN NORTH VERSAILLES PA 15137,NORTH VERSAILLES,40.382596123641406,-79.831018588654075,504100
0197K00383000000,1314 VILLAGE LN BRIDGEVILLE PA 15017,SOUTH FAYETTE,40.368071576150783,-80.128822164616750,456001
0254R00017000000,1766 WATERFORD CT PITTSBURGH PA 15241,UPPER ST. CLAIR,40.356726084509759,-80.086970431428156,474101
0084M00416000000,6422 MELISSA ST PITTSBURGH PA 15206,7TH WARD - PITTSBURGH,40.456019669500513,-79.918533092630000,070800
0446G00098000000,164 LOIS DR VERONA PA 15147,PENN HILLS,40.497858943035148,-79.822005987776194,523701
0522S00077000000,2007 NANCY DR GLENSHAW PA 15116,INDIANA,40.541176344043457,-79.935169831370459,415002
0363J00109000000,280 1ST ST OAKMONT PA 15139,OAKMONT,40.515272346609294,-79.846955837824837,525200
0350P00170000000,105 AUGUSTA DR PITTSBURGH PA 15229,ROSS,40.522552484950459,-80.045043658063136,429300
0194P00192000000,648 SOMERVILLE DR PITTSBURGH PA 15243,SCOTT,40.366394053582837,-80.075845292098663,470400
0691S00037000000,903 PINE VALLEY DR IMPERIAL PA 15126,NORTH FAYETTE,40.444188087565600,-80.217908192607140,453004
0181A00287000000,2440 DEWEY ST HOMESTEAD PA 15120,MUNHALL,40.393311649971771,-79.899255016299136,484600
0500R00028000000,239 NOBLE WOODS DR CORAOPOLIS PA 15108,MOON,40.474096607777085,-80.187919076899647,451300
0195P00076000000,340 ROCKFIELD RD PITTSBURGH PA 15243,SCOTT,40.367411335366434,-80.092519189189829,470400
0296D00125000000,219 CURTIS ST PITTSBURGH PA 15235,PENN HILLS,40.461150902457803,-79.851810012270207,523200
1824B00019000000,256 SEASONS DR WEXFORD PA 15090,MARSHALL,40.645872430757578,-80.077433648166249,411002
0426F00140025500,107 CONTINENTAL LN PITTSBURGH PA 15237,OHIO,40.534662143108825,-80.091037756250898,437000
0218G00325000000,0 BRIDGE RD PITTSBURGH PA 15237,ROSS,40.506798855794614,-80.004009099468021,429100
0215R00252000000,176 N JACKSON AVE PITTSBURGH PA 15202,BELLEVUE,40.501492636173232,-80.056716730548288,431400
0547F00376000000,513 LINCOLN HWY EAST MC KEESPORT PA 15035,EAST MCKEESPORT,40.380721906651225,-79.810045762582348,507000
0426F00140020700,179 WASHINGTON WAY PITTSBURGH PA 15237,OHIO,40.533919975723649,-80.091347109837969,437000
0480R00010000000,1453 HASTINGS CRES BRIDGEVILLE PA 15017,SOUTH FAYETTE,40.328370103712665,-80.107743453331267,456004
0404L00043000000,5702 STOCKBRIDGE CT MC DONALD PA 15057,SOUTH FAYETTE,40.369517470639622,-80.171804093339560,456003
0052M00023000000,5333 BEELER ST PITTSBURGH PA 15217,14TH WARD - PITTSBURGH,40.445644041075546,-79.934334633305937,140100
